Arkansas	アーカンソー州
Russia	ロシア
Wyoming	ワイオミング州
Washington	ワシントン州
South Korea	韓国
Equatorial Guinea	赤道ギニア共和国
Taiwan	台湾
Central African Republic	中央アフリカ共和国
China	中国
South Africa	南アフリカ
South African Rand	南アフリカランド
South America	南アメリカ
Antarctica	南極大陸
Japan	日本
American Samoa	米サモア
North America	北アメリカ
Northern Mariana Islands	北マリアナ諸島連邦
North Korea	北朝鮮
