Afghanistan	アフガニスタン
Guinea	ギニア
Guinea-Bissau	ギニアビサウ
Guyana	ガイアナ
Haiti	ハイチ
Hawaii	ハワイ
Heard Island and McDonald Islands	ハード島とマクドナルド諸島
Holy See (Vatican City State)	バチカン市国
Honduras	ホンジュラス
Hong Kong	香港
Hungary	ハンガリー
Iceland	アイスランド
India	インド
Indonesia	インドネシア
Iran	イラン
Iran, Islamic Republic of	イラン・イスラム共和国
Iraq	イラク
Ireland	アイルランド
Isle of Man	マン島
Israel	イスラエル
Israeli New Sheqel	イスラエル新シェケル
Italian	イタリア語
Italy	イタリア
Jamaica	ジャマイカ
Japan	日本
Jersey	ジャージー
Jordan	ヨルダン
Kazakhstan	カザフスタン
Kenya	ケニア
Kiribati	キリバス
Korea, Democratic People's Republic of	朝鮮民主主義人民共和国
Korea, Republic of	大韓民国
Kuwait	クウェート
Kyrgyzstan	キルギスタン
Kyrgyzstan	キルギス
Lao People's Democratic Republic	ラオス人民民主共和国
Laos	ラオス
Latvia	ラトビア
Lebanon	レバノン
Lesotho	レソト
Liberia	リベリア
Libya	リビア
Liechtenstein	リヒテンシュタイン
Lithuania	リトアニア
Luxembourg	ルクセンブルク
Macau	マカオ
Macedonia	マケドニア
Macedonia, the former Yugoslav Republic of	マケドニア旧ユーゴスラビア共和国
Madagascar	マダガスカル
Malawi	マラウイ
Malaysia	マレーシア
Maldives	モルディブ
Mali	マリ
Malta	マルタ
Marshall Islands	マーシャル諸島
Martinique	マルティニーク
Mauritania	モーリタニア
Mauritius	モーリシャス
Mayotte	マヨット
Mexico	メキシコ
Micronesia	ミクロネシア
Micronesia, Federated States of	ミクロネシア連邦
Moldova	モルドバ
Moldova, Republic of	モルドバ共和国
Monaco	モナコ
Mongolia	モンゴル
Montenegro	モンテネグロ
Montserrat	モントセラト
Morocco	モロッコ
Mozambique	モザンビーク
Myanmar	ミャンマー
Namibia	ナミビア
Nauru	ナウル
Nepal	ネパール
Nepal	ネパールの旗 ネパール
Netherlands	オランダ
New Caledonia	ニューカレドニア
New Zealand	ニュージーランド
Nicaragua	ニカラグア
Niger	ニジェール
Nigeria	ナイジェリア
Niue	ニウエ
Norfolk Island	ノーフォーク島
North America	北アメリカ
North Korea	北朝鮮
Northern Mariana Islands	北マリアナ諸島連邦
Northern Mariana Islands	北マリアナ諸島
Norway	ノルウェー
Oman	オマーン
Orange	オレンジ
Pakistan	パキスタン
Palau	パラオ
Palestinian Territory, Occupied	パレスチナ
Panama	パナマ
Papua New Guinea	パプアニューギニア
Paraguay	パラグアイ
Peru	ペルー
Philippine Peso	フィリピンペソ
Philippines	フィリピン
Pitcairn	ピトケアン
Poland	ポーランド
Polish Zloty	ポーランドズロティ
Portugal	ポルトガル
Puerto Rico	プエルトリコ
Qatar	カタール
Réunion	レユニオン
Romania	ルーマニア
Russia	ロシア
Russian Federation	ロシア連邦
Rwanda	ルワンダ
Saint Barthélemy	サン・バルテルミー
Saint Helena, Ascension and Tristan da Cunha	セントヘレナ・アセンションおよびトリスタンダクーニャ
Saint Kitts and Nevis	セントクリストファー・ネイビス
Saint Lucia	セントルシア
Saint Martin (French part)	サン・マルタン（フランス領）
Saint Pierre and Miquelon	サンピエール島・ミクロン島
Saint Vincent and the Grenadines	セントビンセントおよびグレナディーン諸島
Samoa	サモア
San Marino	サンマリノ
Sao Tome and Principe	サントメ・プリンシペ
Saudi Arabia	サウジアラビア
Senegal	セネガル
Serbia	セルビア
Seychelles	セイシェル
Seychelles	セーシェル
Sierra Leone	シエラレオネ
Singapore	シンガポール
Sint Maarten (Dutch part)	シント・マールテン（オランダ領）
Slovakia	スロバキア
Slovenia	スロベニア
Solomon Islands	ソロモン諸島
Somalia	ソマリア
South Africa	南アフリカ
South African Rand	南アフリカランド
South America	南アメリカ
South Georgia and the South Sandwich Islands	サウスジョージア・サウスサンドウィッチ諸島
South Korea	韓国
South Sudan	南スーダン
Spain	スペイン
Sri Lanka	スリランカ
Sudan	スーダン
Suriname	スリナム
Svalbard and Jan Mayen	スヴァールバル諸島およびヤンマイエン島
Swaziland	スワジランド
Sweden	スウェーデン
Switzerland	スイス
Syria	シリア
Syrian Arab Republic	シリア・アラブ共和国
Taiwan	台湾
Taiwan, Province of China	台湾
Tajikistan	タジキスタン
Tanzania	タンザニア
Tanzania, United Republic of	タンザニア
Thailand	タイ
Timor-Leste	東ティモール
Togo	トーゴ
Tokelau	トケラウ
Tonga	トンガ
Trinidad and Tobago	トリニダード・トバゴ
Tunisia	チュニジア
Turkey	トルコ
Turkmenistan	トルクメニスタン
Turks and Caicos Islands	タークス・カイコス諸島
Tuvalu	ツバル
Uganda	ウガンダ
Ukraine	ウクライナ
United Arab Emirates	アラブ首長国連邦
United Kingdom	イギリス
United States	アメリカ合衆国
United States Minor Outlying Islands	合衆国領有小離島
Uruguay	ウルグアイ
Uzbekistan	ウズベキスタン
Vanuatu	バヌアツ
Venezuela	ベネズエラ
Venezuela, Bolivarian Republic of	ベネズエラ・ボリバル共和国
Viet Nam	ベトナム
Vietnam	ベトナム
Virgin Islands, British	イギリス領ヴァージン諸島
Virgin Islands, U.S.	アメリカ領ヴァージン諸島
Wallis and Futuna	ウォリス・フツナ
Western Sahara	西サハラ
Yemen	イエメン
Zambia	ザンビア
Zimbabwe	ジンバブエ
